IUCN,IUCN Category,SPEC,Species,COU,Country,Value
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,ITA,Italy,5.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,ITA,Italy,11.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,JPN,Japan,100.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,JPN,Japan,9.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,JPN,Japan,5.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,JPN,Japan,23.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,JPN,Japan,37.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,KOR,Korea,32.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,KOR,Korea,1.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,KOR,Korea,0.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,KOR,Korea,4.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,KOR,Korea,5.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,LUX,Luxembourg,6.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,LUX,Luxembourg,0.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,LUX,Luxembourg,0.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,LUX,Luxembourg,2.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,LUX,Luxembourg,2.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,MEX,Mexico,953.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,MEX,Mexico,28.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,MEX,Mexico,0.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,MEX,Mexico,142.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,MEX,Mexico,170.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,NLD,Netherlands,7.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,NLD,Netherlands,0.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,NLD,Netherlands,1.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,NLD,Netherlands,4.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,NLD,Netherlands,5.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,NZL,New Zealand,125.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,NOR,Norway,5.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,POL,Poland,12.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,POL,Poland,1.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,POL,Poland,1.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,POL,Poland,1.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,POL,Poland,3.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,PRT,Portugal,49.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,PRT,Portugal,4.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,PRT,Portugal,6.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,PRT,Portugal,10.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,SVK,Slovak Republic,12.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,SVK,Slovak Republic,1.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,SVK,Slovak Republic,4.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,SVK,Slovak Republic,5.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,ESP,Spain,105.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,ESP,Spain,5.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,ESP,Spain,4.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,ESP,Spain,10.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,ESP,Spain,19.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,SWE,Sweden,6.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,SWE,Sweden,2.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,SWE,Sweden,2.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,CHE,Switzerland,19.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,CHE,Switzerland,9.0
CRITICAL,Number of critically endangered species,REPTILE,Reptiles,CHE,Switzerland,2.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,CHE,Switzerland,2.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,CHE,Switzerland,13.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,TUR,Türkiye,146.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,TUR,Türkiye,22.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,GBR,United Kingdom,15.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,GBR,United Kingdom,2.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,CHL,Chile,140.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,CHL,Chile,18.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,CHL,Chile,25.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,CHL,Chile,52.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,EST,Estonia,5.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,EST,Estonia,1.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,EST,Estonia,2.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,RUS,Russia,9.0
TOT_KNOWN,Total number of known species,REPTILE,Reptiles,SVN,Slovenia,24.0
ENDANGERED,Number of endangered species,REPTILE,Reptiles,SVN,Slovenia,7.0
VULNERABLE,Number of vulnerable species,REPTILE,Reptiles,SVN,Slovenia,11.0
THREATENED,Total number of threatened species,REPTILE,Reptiles,SVN,Slovenia,18.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,AUS,Australia,239.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,AUS,Australia,8.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,AUS,Australia,17.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,AUS,Australia,14.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,AUS,Australia,39.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,AUT,Austria,21.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,AUT,Austria,3.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,AUT,Austria,1.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,AUT,Austria,8.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,AUT,Austria,12.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,BEL,Belgium,19.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,BEL,Belgium,3.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,BEL,Belgium,3.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,BEL,Belgium,6.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,CAN,Canada,46.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,CAN,Canada,5.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,CAN,Canada,10.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,CAN,Canada,18.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,CZE,Czech Republic,21.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,CZE,Czech Republic,5.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,CZE,Czech Republic,5.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,CZE,Czech Republic,6.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,CZE,Czech Republic,16.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,DNK,Denmark,15.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,DNK,Denmark,4.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,DNK,Denmark,1.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,DNK,Denmark,1.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,DNK,Denmark,5.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,FIN,Finland,10.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,FIN,Finland,0.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,FIN,Finland,1.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,FRA,France,35.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,FRA,France,3.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,FRA,France,0.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,FRA,France,5.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,FRA,France,8.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,DEU,Germany,21.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,DEU,Germany,5.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,DEU,Germany,5.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,DEU,Germany,10.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,GRC,Greece,23.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,GRC,Greece,2.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,GRC,Greece,1.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,GRC,Greece,3.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,GRC,Greece,6.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,HUN,Hungary,18.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,HUN,Hungary,1.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,HUN,Hungary,1.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,HUN,Hungary,2.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,IRL,Ireland,3.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,IRL,Ireland,1.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,IRL,Ireland,1.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,ITA,Italy,44.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,ITA,Italy,4.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,ITA,Italy,0.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,ITA,Italy,10.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,ITA,Italy,14.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,JPN,Japan,91.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,JPN,Japan,20.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,JPN,Japan,5.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,JPN,Japan,22.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,JPN,Japan,47.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,KOR,Korea,27.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,KOR,Korea,2.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,KOR,Korea,0.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,KOR,Korea,3.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,KOR,Korea,5.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,LUX,Luxembourg,14.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,LUX,Luxembourg,1.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,LUX,Luxembourg,2.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,LUX,Luxembourg,1.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,LUX,Luxembourg,4.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,MEX,Mexico,413.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,MEX,Mexico,15.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,MEX,Mexico,0.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,MEX,Mexico,43.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,MEX,Mexico,58.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,NLD,Netherlands,16.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,NLD,Netherlands,3.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,NLD,Netherlands,1.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,NLD,Netherlands,3.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,NLD,Netherlands,7.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,NZL,New Zealand,8.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,NOR,Norway,6.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,NOR,Norway,1.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,NOR,Norway,1.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,NOR,Norway,2.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,POL,Poland,19.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,PRT,Portugal,20.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,PRT,Portugal,2.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,PRT,Portugal,2.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,18.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,3.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,5.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,8.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,ESP,Spain,39.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,ESP,Spain,2.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,ESP,Spain,1.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,ESP,Spain,6.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,ESP,Spain,9.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,SWE,Sweden,13.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,SWE,Sweden,0.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,SWE,Sweden,3.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,SWE,Sweden,3.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,CHE,Switzerland,19.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,CHE,Switzerland,6.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,CHE,Switzerland,0.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,CHE,Switzerland,8.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,CHE,Switzerland,14.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,TUR,Türkiye,39.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,TUR,Türkiye,3.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,TUR,Türkiye,1.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,TUR,Türkiye,4.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,TUR,Türkiye,8.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,GBR,United Kingdom,15.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,GBR,United Kingdom,1.0
CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,GBR,United Kingdom,1.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,CHL,Chile,65.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,CHL,Chile,23.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,CHL,Chile,11.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,CHL,Chile,44.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,EST,Estonia,11.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,EST,Estonia,2.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,EST,Estonia,1.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,EST,Estonia,3.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,RUS,Russia,0.0
TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,SVN,Slovenia,21.0
ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,SVN,Slovenia,3.0
VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,SVN,Slovenia,14.0
THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,SVN,Slovenia,17.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,AUS,Australia,22949.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,AUS,Australia,553.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,AUS,Australia,212.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,AUS,Australia,585.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,AUS,Australia,1350.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,AUT,Austria,3054.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,AUT,Austria,369.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,AUT,Austria,235.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,AUT,Austria,488.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,AUT,Austria,1092.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,1818.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,107.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,253.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,63.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,423.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,CAN,Canada,5304.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,CAN,Canada,293.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,CAN,Canada,418.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,CAN,Canada,965.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,2256.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,412.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,284.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,212.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,908.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,2918.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,101.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,33.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,28.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,162.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,FIN,Finland,2628.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,FIN,Finland,101.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,FIN,Finland,35.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,FIN,Finland,76.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,FIN,Finland,212.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,FRA,France,4982.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,FRA,France,132.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,FRA,France,238.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,FRA,France,421.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,DEU,Germany,4305.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,DEU,Germany,378.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,DEU,Germany,212.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,DEU,Germany,820.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,DEU,Germany,1410.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,GRC,Greece,5850.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,GRC,Greece,64.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,GRC,Greece,17.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,GRC,Greece,174.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,GRC,Greece,255.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,HUN,Hungary,2721.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,HUN,Hungary,162.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,HUN,Hungary,105.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,HUN,Hungary,382.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,ISL,Iceland,438.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,ISL,Iceland,52.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,IRL,Ireland,1050.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,IRL,Ireland,25.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,IRL,Ireland,20.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,IRL,Ireland,56.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,IRL,Ireland,101.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,ITA,Italy,8249.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,ITA,Italy,269.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,ITA,Italy,193.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,ITA,Italy,169.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,ITA,Italy,631.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,JPN,Japan,7000.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,JPN,Japan,520.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,JPN,Japan,529.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,JPN,Japan,741.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,JPN,Japan,1790.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,KOR,Korea,4606.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,KOR,Korea,74.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,KOR,Korea,28.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,KOR,Korea,86.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,KOR,Korea,188.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,LUX,Luxembourg,1323.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,LUX,Luxembourg,124.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,LUX,Luxembourg,121.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,LUX,Luxembourg,109.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,LUX,Luxembourg,354.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,MEX,Mexico,23296.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,MEX,Mexico,212.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,MEX,Mexico,6.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,MEX,Mexico,348.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,MEX,Mexico,566.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,NLD,Netherlands,1395.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,NLD,Netherlands,117.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,NLD,Netherlands,71.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,NLD,Netherlands,168.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,NLD,Netherlands,356.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,NZL,New Zealand,4469.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,NOR,Norway,1376.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,NOR,Norway,122.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,NOR,Norway,44.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,NOR,Norway,131.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,NOR,Norway,297.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,POL,Poland,3141.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,POL,Poland,152.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,POL,Poland,124.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,POL,Poland,204.0
THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,POL,Poland,480.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,PRT,Portugal,3607.0
TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,SVK,Slovak Republic,3619.0
ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,SVK,Slovak Republic,171.0
CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,SVK,Slovak Republic,155.0
VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,SVK,Slovak Republic,201.0
